fecha,momento,valor,eficiencia,duracion,duracion_hhmm,día,grupo
2021-11-03,inicio,2.7666666666666666,90.0,20700,05:45,Miércoles 3 de noviembre,Día de Semana
2021-11-03,fin,8.516666666666667,90.0,20700,05:45,Miércoles 3 de noviembre,Día de Semana
2021-11-04,inicio,3.8166666666666673,88.0,21360,05:56,Jueves 4 de noviembre,Día de Semana
2021-11-04,fin,9.749999999999998,88.0,21360,05:56,Jueves 4 de noviembre,Día de Semana
2021-11-05,inicio,2.966666666666667,90.0,26100,07:15,Viernes 5 de noviembre,Día de Semana
2021-11-05,fin,10.216666666666669,90.0,26100,07:15,Viernes 5 de noviembre,Día de Semana
2021-11-06,inicio,2.8,94.0,25140,06:59,Sábado 6 de noviembre,Fin de Semana
2021-11-06,fin,9.783333333333335,94.0,25140,06:59,Sábado 6 de noviembre,Fin de Semana
2021-11-07,inicio,1.1333333333333335,94.0,29400,08:10,Domingo 7 de noviembre,Fin de Semana
2021-11-07,fin,9.299999999999999,94.0,29400,08:10,Domingo 7 de noviembre,Fin de Semana
2021-11-08,inicio,1.7833333333333332,90.0,29040,08:04,Lunes 8 de noviembre,Día de Semana
2021-11-08,fin,9.85,90.0,29040,08:04,Lunes 8 de noviembre,Día de Semana
2021-11-09,inicio,3.4166666666666665,88.0,19320,05:22,Martes 9 de noviembre,Día de Semana
2021-11-09,fin,8.783333333333335,88.0,19320,05:22,Martes 9 de noviembre,Día de Semana
2021-11-10,fin,8.299999999999999,94.0,22500,06:15,Miércoles 10 de noviembre,Día de Semana
2021-11-10,inicio,2.05,94.0,22500,06:15,Miércoles 10 de noviembre,Día de Semana
2021-11-11,inicio,3.3000000000000003,93.0,20820,05:47,Jueves 11 de noviembre,Día de Semana
2021-11-11,fin,9.083333333333334,93.0,20820,05:47,Jueves 11 de noviembre,Día de Semana
2021-11-12,inicio,3.3166666666666664,94.0,23760,06:36,Viernes 12 de noviembre,Día de Semana
2021-11-12,fin,9.916666666666668,94.0,23760,06:36,Viernes 12 de noviembre,Día de Semana
2021-11-13,inicio,3.883333333333333,89.0,25800,07:10,Sábado 13 de noviembre,Fin de Semana
2021-11-13,fin,11.049999999999999,89.0,25800,07:10,Sábado 13 de noviembre,Fin de Semana
2021-11-14,fin,13.333333333333332,88.0,36360,10:06,Domingo 14 de noviembre,Fin de Semana
2021-11-14,inicio,3.2333333333333334,88.0,36360,10:06,Domingo 14 de noviembre,Fin de Semana
2021-11-15,inicio,5.050000000000001,79.0,18840,05:14,Lunes 15 de noviembre,Día de Semana
2021-11-15,fin,10.283333333333333,79.0,18840,05:14,Lunes 15 de noviembre,Día de Semana
2021-11-16,inicio,3.6833333333333336,88.0,20460,05:41,Martes 16 de noviembre,Día de Semana
2021-11-16,fin,9.366666666666667,88.0,20460,05:41,Martes 16 de noviembre,Día de Semana
2021-11-17,inicio,2.8666666666666667,93.0,22200,06:10,Miércoles 17 de noviembre,Día de Semana
2021-11-17,fin,9.033333333333333,93.0,22200,06:10,Miércoles 17 de noviembre,Día de Semana
2021-11-18,inicio,2.1333333333333333,95.0,26040,07:14,Jueves 18 de noviembre,Día de Semana
2021-11-18,fin,9.366666666666667,95.0,26040,07:14,Jueves 18 de noviembre,Día de Semana
